Job Title,Company,Location,Skills,URL
Fleet Supervisor,Acko,Mumbai,"com, sosl, lightning, visualforce, soql, triggers, lighting, apex",https://www.naukri.com/job-listings-fleet-supervisor-acko-general-mumbai-1-to-4-years-260825504558
Fleet Supervisor,Estalvis Advisors,Pedavegi,"Supply chain, SAP, Pharma, Fleet Supervisor, Oracle, Load balancing, Distribution network, Operations",https://www.naukri.com/job-listings-fleet-supervisor-estalvis-advisors-private-limited-pedavegi-3-to-5-years-241125506886
Garage Supervisor,2coms,Oman,"repair, workflow, management skills, team management, logistics, inventory, route planning, transportation",https://www.naukri.com/job-listings-garage-supervisor-2coms-oman-3-to-8-years-150626024050
Transport Executive,Picodel,Pune,"fleet, shipment, supply chain, warehouse operations, documentation, logistics, tracking, transportation operations",https://www.naukri.com/job-listings-transport-executive-picodel-logistics-cargo-courier-pune-0-to-4-years-121125503939
Transport Fleet Executive,Hitech Human Capital,Ahmedabad,"Procurement, Payroll, vehicle maintenance, Claims, Expense management, Fleet Executive, Scheduling, Document management",https://www.naukri.com/job-listings-transport-fleet-executive-hitech-human-capital-pvt-ltd-ahmedabad-1-to-3-years-030626502625
Manager - Operations,Movin Express,Mumbai (All Areas)(Bhiwandi),"Operations, Fleet, first mile, Logistics Operations, Supply Chain Operations, Transport Operations, Route Planning, Vehicle Management",https://www.naukri.com/job-listings-manager-operations-movin-express-mumbai-all-areas-10-to-16-years-240626007533
Fleet Tracking Executive,Manoj Kumar,New Delhi(Chhawla),"Dispatch Monitoring, Excel, Driver Coordination, Fleet Management, Vehicle Tracking, Communication Skills, ground operations, Problem Solving",https://www.naukri.com/job-listings-fleet-tracking-executive-manoj-kumar-new-delhi-1-to-5-years-210626004654
Last mile Operations Executive,Delhivery,Shamshabad,"Last Mile, Supply Chain Management, Supply Chain, Supply, Management, Last Mile Delivery, Operations",https://www.naukri.com/job-listings-last-mile-operations-executive-delhivery-shamshabad-0-to-1-years-040526008534
Executive - Warehouse Operations - Contract Logistics,DP World,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Outbound, Operations management, Warehouse, contract logistics, Warehouse Executive, Compliance, Warehouse operations, Inventory",https://www.naukri.com/job-listings-executive-warehouse-operations-contract-logistics-dp-world-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-1-years-080825502552
Purchase executive & Dispatch executive,BVG India,Aurangabad,"purchase management, vendor development, strategic sourcing, material management, supply chain management, purchase, buyer activities, new vendor development",https://www.naukri.com/job-listings-purchase-executive-dispatch-executive-bvg-india-ltd-aurangabad-1-to-3-years-200326500284
